"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
0003-01-17,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-02-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-03-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-04-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-05-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-06-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-07-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-08-17,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-09-17,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-10-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-11-17,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-12-17,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-01-17,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-02-17,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-03-17,26,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-04-17,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-05-17,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-06-17,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-07-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-08-17,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-09-17,67,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-10-17,64,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-11-17,74,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0004-12-17,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,71,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,51,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,26,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,26,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-01-17,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-02-17,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-03-17,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-04-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-05-17,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-06-17,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-07-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-08-17,74,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-09-17,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-10-17,71,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-11-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0005-12-17,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,93,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,61,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,17,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,26,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,28,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-01-17,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-02-17,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-03-17,61,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-04-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-05-17,27,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-06-17,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-07-17,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-08-17,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-09-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-10-17,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-11-17,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0006-12-17,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,29,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,19,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,21,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,27,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,51,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,24,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-01-17,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-02-17,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-03-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-04-17,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-05-17,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-06-17,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-07-17,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-08-17,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-09-17,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-10-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-11-17,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0007-12-17,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,51,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-01-17,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-02-17,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-03-17,74,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-04-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-05-17,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-06-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-07-17,19,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-08-17,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-09-17,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-10-17,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-11-17,28,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0008-12-17,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,29,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,25,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,19,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0009-01-17,22,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0009-02-17,18,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0009-03-17,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0009-04-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0009-05-17,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0009-06-17,26,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0009-07-17,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,51,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-01-17,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-02-17,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-03-17,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-04-17,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-05-17,50,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-06-17,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-07-17,29,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-08-17,14,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-09-17,20,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-10-17,24,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-11-17,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0010-12-17,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,17,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,20,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,28,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,23,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,21,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138,-81.191
0003-01-17,37,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-02-17,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-03-17,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-04-17,46,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-05-17,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-06-17,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-07-17,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-08-17,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-09-17,50,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-11-17,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0003-12-17,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,46,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,50,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,48,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,36,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,51,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-01-17,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-02-17,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-03-17,37,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-04-17,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-05-17,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-06-17,37,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-07-17,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-08-17,54,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-09-17,67,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-10-17,87,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-11-17,80,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0004-12-17,58,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,67,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,67,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,46,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,46,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,37,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-01-17,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-02-17,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-03-17,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-04-17,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-05-17,37,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-06-17,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-07-17,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-08-17,61,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-09-17,50,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-10-17,77,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-11-17,50,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0005-12-17,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,50,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,51,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,58,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,54,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,36,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,27,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,35,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,49,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,46,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-01-17,50,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-02-17,51,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-03-17,54,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-04-17,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-05-17,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-06-17,51,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-07-17,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-08-17,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-09-17,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-10-17,49,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-11-17,48,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0006-12-17,36,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,46,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,46,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0007-01-17,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0007-02-17,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0007-03-17,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
0007-04-17,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
